Date,Open,High,Low,Close,Adj Close,Volume
2009-05-26,2.261300,2.274100,2.232200,2.246700,2.246700,0
2009-05-27,2.246500,2.255900,2.230200,2.245000,2.245000,0
2009-05-28,2.245200,2.258500,2.217100,2.234700,2.234700,0
2009-05-29,2.234100,2.238400,2.204300,2.208000,2.208000,0
2009-06-01,2.207200,2.211500,2.164300,2.183100,2.183100,0
2009-06-02,2.182800,2.190300,2.168500,2.181600,2.181600,0
2009-06-03,2.181200,2.250000,2.178300,2.227400,2.227400,0
2009-06-04,2.227700,2.256000,2.224200,2.238800,2.238800,0
2009-06-05,2.238900,2.242600,2.207200,2.229700,2.229700,0
2009-06-08,2.228000,2.253800,2.223500,2.235600,2.235600,0
2009-06-09,2.236700,2.247000,2.232400,2.241800,2.241800,0
2009-06-10,2.242100,2.245300,2.202700,2.207600,2.207600,0
2009-06-11,2.207000,2.209900,2.175900,2.185000,2.185000,0
2009-06-12,2.185200,2.197300,2.175800,2.176900,2.176900,0
2009-06-15,2.184600,2.195200,2.181700,2.188000,2.188000,0
2009-06-16,2.188100,2.205200,2.175500,2.198400,2.198400,0
2009-06-17,2.198400,2.215000,2.190000,2.206300,2.206300,0
2009-06-18,2.206300,2.210600,2.167000,2.173500,2.173500,0
2009-06-19,2.172700,2.181900,2.159600,2.164100,2.164100,0
2009-06-22,2.169000,2.205700,2.169000,2.203000,2.203000,0
2009-06-23,2.203300,2.214200,2.194900,2.205600,2.205600,0
2009-06-24,2.204300,2.207400,2.165200,2.181000,2.181000,0
2009-06-25,2.180600,2.192000,2.161000,2.178000,2.178000,0
2009-06-26,2.177600,2.202900,2.169400,2.169800,2.169800,0
2009-06-29,2.174500,2.180400,2.158100,2.158000,2.158000,0
2009-06-30,2.157200,2.177200,2.154900,2.173600,2.173600,0
2009-07-01,2.173600,2.213700,2.169800,2.204600,2.204600,0
2009-07-02,2.204800,2.230700,2.203300,2.225000,2.225000,0
2009-07-03,2.224800,2.226100,2.189900,2.190500,2.190500,0
2009-07-06,2.221800,2.230900,2.192100,2.196900,2.196900,0
2009-07-07,2.197200,2.215900,2.192100,2.214800,2.214800,0
2009-07-08,2.215200,2.231400,2.204700,2.218000,2.218000,0
2009-07-09,2.217600,2.229200,2.201400,2.214900,2.214900,0
2009-07-10,2.215200,2.227000,2.212000,2.217100,2.217100,0
2009-07-13,2.220000,2.249700,2.203600,2.204200,2.204200,0
2009-07-14,2.204400,2.210700,2.177600,2.182700,2.182700,0
2009-07-15,2.182700,2.195700,2.164400,2.172600,2.172600,0
2009-07-16,2.172800,2.201300,2.168900,2.184000,2.184000,0
2009-07-17,2.184000,2.196600,2.179900,2.185900,2.185900,0
2009-07-20,2.162600,2.165100,2.161600,2.163300,2.163300,0
2009-07-21,2.165200,2.166200,2.162500,2.162500,2.162500,0
2009-07-22,2.156500,2.157800,2.155400,2.156100,2.156100,0
2009-07-23,2.159800,2.162000,2.159600,2.160300,2.160300,0
2009-07-24,2.159800,2.168100,2.156600,2.166200,2.166200,0
2009-07-27,2.170400,2.171900,2.169000,2.171000,2.171000,0
2009-07-28,2.159200,2.160300,2.156200,2.158000,2.158000,0
2009-07-29,2.162100,2.162300,2.158500,2.158500,2.158500,0
2009-07-30,2.156500,2.157800,2.154800,2.156600,2.156600,0
2009-07-31,2.156500,2.163700,2.147900,2.152000,2.152000,0
2009-08-03,2.158200,2.158600,2.154900,2.154900,2.154900,0
2009-08-04,2.136100,2.139000,2.134800,2.137800,2.137800,0
2009-08-05,2.144900,2.147000,2.143200,2.144800,2.144800,0
2009-08-06,2.140500,2.141900,2.139100,2.140300,2.140300,0
